Time,Open,High,Low,Close,Volume
01.02.2012 11:10:00.000,1.31277,1.31277,1.31250,1.31259,266.87
01.02.2012 11:11:00.000,1.31259,1.31279,1.31257,1.31263,277.04
01.02.2012 11:12:00.000,1.31263,1.31264,1.31251,1.31251,128.99
01.02.2012 11:13:00.000,1.31252,1.31294,1.31252,1.31274,231.36
01.02.2012 11:14:00.000,1.31274,1.31317,1.31273,1.31309,319.29
01.02.2012 11:15:00.000,1.31309,1.31312,1.31286,1.31294,219.75
01.02.2012 11:16:00.000,1.31290,1.31305,1.31280,1.31286,197.77
01.02.2012 11:17:00.000,1.31284,1.31302,1.31276,1.31291,257.25
01.02.2012 11:18:00.000,1.31291,1.31296,1.31283,1.31293,210.28
01.02.2012 11:19:00.000,1.31293,1.31317,1.31293,1.31311,235.05
01.02.2012 11:20:00.000,1.31312,1.31318,1.31285,1.31285,172.48
01.02.2012 11:21:00.000,1.31287,1.31321,1.31287,1.31309,285.13
01.02.2012 11:22:00.000,1.31310,1.31311,1.31282,1.31282,240.44
01.02.2012 11:23:00.000,1.31282,1.31298,1.31270,1.31281,189.81
01.02.2012 11:24:00.000,1.31281,1.31296,1.31281,1.31288,214.69
01.02.2012 11:25:00.000,1.31288,1.31290,1.31274,1.31276,175.49
01.02.2012 11:26:00.000,1.31276,1.31277,1.31259,1.31260,284.30
01.02.2012 11:27:00.000,1.31260,1.31260,1.31186,1.31193,364.36
01.02.2012 11:28:00.000,1.31192,1.31206,1.31177,1.31184,329.09
01.02.2012 11:29:00.000,1.31184,1.31187,1.31164,1.31175,286.97
01.02.2012 11:30:00.000,1.31175,1.31188,1.31172,1.31177,274.27
01.02.2012 11:31:00.000,1.31177,1.31194,1.31174,1.31190,264.19
01.02.2012 11:32:00.000,1.31189,1.31190,1.31180,1.31187,257.69
01.02.2012 11:33:00.000,1.31189,1.31205,1.31189,1.31195,214.75
01.02.2012 11:34:00.000,1.31194,1.31206,1.31182,1.31206,222.50
01.02.2012 11:35:00.000,1.31206,1.31215,1.31197,1.31197,245.40
01.02.2012 11:36:00.000,1.31193,1.31224,1.31193,1.31198,214.78
01.02.2012 11:37:00.000,1.31198,1.31214,1.31179,1.31214,283.28
01.02.2012 11:38:00.000,1.31215,1.31229,1.31200,1.31200,313.05
01.02.2012 11:39:00.000,1.31196,1.31225,1.31194,1.31219,339.74
01.02.2012 11:40:00.000,1.31219,1.31286,1.31219,1.31273,300.49
01.02.2012 11:41:00.000,1.31273,1.31283,1.31254,1.31266,290.96
01.02.2012 11:42:00.000,1.31266,1.31288,1.31265,1.31287,220.88
01.02.2012 11:43:00.000,1.31287,1.31310,1.31281,1.31287,263.36
01.02.2012 11:44:00.000,1.31285,1.31306,1.31283,1.31283,260.43
01.02.2012 11:45:00.000,1.31283,1.31283,1.31257,1.31262,296.54
01.02.2012 11:46:00.000,1.31262,1.31301,1.31261,1.31301,211.37
01.02.2012 11:47:00.000,1.31301,1.31309,1.31279,1.31287,307.65
01.02.2012 11:48:00.000,1.31286,1.31292,1.31273,1.31292,276.84
01.02.2012 11:49:00.000,1.31292,1.31303,1.31281,1.31300,226.52
